iter	RMSE
0	2045450.173
1	2011159.527
2	1971024.815
3	1932362.223
4	1895201.19
5	1871877.823
6	1849169.259
7	1818358.902
8	1791740.76
9	1765786.76
10	1734443.775
11	1709506.158
12	1673711.446
13	1641226.525
14	1613926.316
15	1594521.659
16	1569300.715
17	1550641.377
18	1523408.905
19	1502100.608
20	1478397.884
21	1453811.135
22	1431151.342
23	1414551.114
24	1393582.529
25	1368803.082
26	1354617.835
27	1336539.612
28	1315785.753
29	1293874.407
30	1276098.64
31	1257342.548
32	1235956.704
33	1216622.914
34	1200945.063
35	1180285.41
36	1168095.153
37	1153874.217
38	1141973.72
39	1132042.622
40	1117883.747
41	1108807.979
42	1096651.867
43	1082407.109
44	1072590.512
45	1058768.586
46	1043372.618
47	1032172.297
48	1024051.294
49	1010132.406
50	998104.2493
51	986527.2041
52	977981.0002
53	965159.3951
54	956038.0924
55	947368.4747
56	938889.2787
57	928895.1164
58	917902.9412
59	910173.2667
60	902322.0623
61	890265.8238
62	881119.9313
63	874977.8665
64	868510.9245
65	859025.4589
66	851175.678
67	847529.3825
68	842345.5948
69	836730.8674
70	830090.587
71	822648.5537
72	816574.2309
73	809692.1834
74	800947.742
75	794291.1514
76	788536.6099
77	784013.3046
78	778335.4681
79	771997.2431
80	766460.4109
81	760367.0771
82	753621.3717
83	746589.9591
84	740836.2319
85	735854.9912
86	726528.4655
87	721871.6447
88	718288.1933
89	712309.1143
90	709294.5457
91	703353.9026
92	698313.5975
93	693538.1239
94	685681.982
95	682712.4097
96	677551.7663
97	671448.5971
98	667487.6328
99	663639.8823
100	660346.0532
101	654625.6487
102	651374.7545
103	647180.862
104	642067.1046
105	638783.5182
106	633904.2798
107	628782.7591
108	625201.2848
109	623501.431
110	617791.0389
111	612594.1135
112	609648.589
113	607469.196
114	603840.658
115	600306.4857
116	596897.3462
117	591426.9308
118	586632.5019
119	584639.6188
120	581350.1747
121	578686.8569
122	574205.1344
123	569277.973
124	565350.58
125	562310.005
126	558480.5664
127	555832.2659
128	553660.3935
129	550756.4044
130	547928.9058
131	546512.9315
132	542862.3565
133	540174.3243
134	537215.1758
135	535533.1793
136	533569.3709
137	530706.2701
138	528750.1582
139	526421.7074
140	524284.3641
141	520740.455
142	518950.6071
143	516035.9431
144	513775.1117
145	510318.491
146	506195.9395
147	504392.2674
148	501463.7047
149	498000.2922
150	496456.5637
151	493806.1448
152	489665.3956
153	487235.9447
154	484480.1729
155	482883.3195
156	481092.7027
157	479678.9422
158	477955.356
159	476811.773
160	474735.5833
161	473455.9616
162	471710.1431
163	469337.8107
164	467261.9511
165	463940.9071
166	461998.8093
167	461332.0366
168	458984.6334
169	457041.4409
170	454421.5695
171	452039.4936
172	450131.0221
173	448914.1543
174	446495.8062
175	445435.9207
176	444160.8324
177	442561.1168
178	442101.4655
179	439322.0155
180	437928.4311
181	436467.2599
182	433560.9003
183	432798.9806
184	431395.9371
185	430056.2284
186	429206.7273
187	428259.3181
188	427538.394
189	426809.4628
190	424499.416
191	423080.2037
192	421937.4102
193	420820.3341
194	419817.0163
195	418426.8942
196	416595.9802
197	414422.6719
198	414227.4335
199	411560.4622
200	410793.8352
201	409350.746
202	408147.5947
203	406639.2067
204	405643.8768
205	404176.3387
206	403532.3038
207	401818.4738
208	400817.0133
209	399293.5699
210	398722.0964
211	397572.0811
212	396374.5411
213	395659.5176
214	394613.3061
215	392556.0284
216	392218.6726
217	390992.5997
218	389958.1697
219	389565.4539
220	388649.6718
221	387720.3379
222	387034.1746
223	385680.7449
224	385123.3244
225	384704.1778
226	384521.633
227	384159.3362
228	382102.0645
229	381353.5023
230	380696.4904
231	379108.5875
232	378832.296
233	377272.9379
234	375409.9167
235	374819.0543
236	374007.1339
237	371961.3151
238	371010.6885
239	370158.0601
240	369099.9334
241	368113.3318
242	367726.6593
243	367509.2644
244	366905.4748
245	366076.3016
246	364887.114
247	364612.5436
248	362858.7467
249	361943.1893
250	361642.9722
251	361309.5491
252	360244.928
253	358222.3516
254	355696.3202
255	354628.6291
256	354421.2186
257	352200.2731
258	350118.4325
259	349581.226
260	348099.2906
261	347721.2193
262	346903.4096
263	345687.3207
264	345239.5498
265	344722.3153
266	344029.9198
267	343680.0972
268	343386.7139
269	342009.8449
270	340018.7625
271	339748.6486
272	338698.391
273	337356.2229
274	337193.9941
275	336901.0345
276	335432.6964
277	334772.6761
278	334008.5723
279	333920.5958
280	333652.605
281	332530.0584
282	331612.9773
283	331011.0916
284	330742.9719
285	328932.8654
286	327454.0566
287	327334.47
288	326733.8423
289	326638.436
290	325323.9502
291	324652.0302
292	323495.2763
293	322919.5948
294	322485.8447
295	322283.5746
296	321297.7103
297	321058.7475
298	319847.019
299	318216.469
300	317466.2007
301	316179.2471
302	315426.1224
303	315338.6954
304	314668.8296
305	314157.9608
306	313511.593
307	312350.3235
308	311886.491
309	311030.9148
310	309615.7622
311	308314.594
312	307258.8284
313	306786.6053
314	306249.1578
315	306126.5327
316	305685.7524
317	305518.6466
318	304686.1697
319	303633.9657
320	302203.8453
321	301474.2991
322	300083.6266
323	298926.6575
324	298593.831
325	297647.7771
326	297063.8936
327	296462.354
328	295528.4716
329	294800.2376
330	293990.3496
331	293763.9766
332	293274.2232
333	292795.085
334	291482.3396
335	290883.7793
336	290025.7014
337	289225.3932
338	288434.1901
339	287221.2463
340	286859.9541
341	286298.0432
342	285992.3465
343	285529.1439
344	285304.0818
345	285113.9019
346	284462.3834
347	284341.1762
348	283836.2234
349	283660.3728
350	283074.4577
351	282402.0463
352	281712.6384
353	281276.787
354	280529.3409
355	280456.0681
356	279813.6739
357	279748.3011
358	279575.2643
359	279202.1225
360	279058.5277
361	278436.6971
362	278142.3291
363	277984.7553
364	277388.4369
365	277154.5203
366	276410.5777
367	276145.4536
368	275432.2027
369	275233.7483
370	275072.8499
371	274446.6143
372	274335.8935
373	273624.549
374	273403.8407
375	273249.8616
376	272565.4225
377	272477.65
378	272089.4571
379	271375.4926
380	270394.597
381	270248.0625
382	269678.1764
383	269054.4073
384	267969.016
385	267228.6509
386	267134.0131
387	266685.6411
388	266126.1851
389	265550.4017
390	264844.1136
391	264212.7328
392	263558.3783
393	262801.1222
394	262228.9626
395	261216.0097
396	261020.015
397	260938.9843
398	259995.4603
399	259084.4149
400	258195.5805
401	257945.3061
402	257682.946
403	257279.1109
404	257205.1825
405	256338.4166
406	255934.3477
407	255554.8052
408	254968.8089
409	254884.4008
410	254481.2938
411	253787.5028
412	253053.166
413	252897.2224
414	252239.5931
415	251366.1241
