iter	Passed	Remaining
0	162	162364
1	167	83662
2	172	57285
3	174	43476
4	180	35910
5	183	30475
6	187	26661
7	191	23687
8	194	21373
9	196	19445
10	199	17912
11	202	16706
12	205	15605
13	207	14625
14	209	13764
15	211	13013
16	213	12350
17	217	11839
18	218	11305
19	220	10818
20	222	10391
21	224	9986
22	226	9624
23	229	9323
24	231	9038
25	234	8793
26	237	8546
27	239	8310
28	241	8098
29	244	7902
30	246	7719
31	249	7553
32	252	7385
33	254	7233
34	257	7093
35	259	6940
36	261	6802
37	263	6682
38	265	6552
39	268	6437
40	269	6315
41	271	6198
42	274	6101
43	276	6017
44	278	5920
45	281	5830
46	282	5736
47	284	5648
48	287	5572
49	289	5497
50	292	5435
51	294	5373
52	297	5312
53	299	5243
54	301	5179
55	303	5116
56	305	5058
57	308	5011
58	310	4958
59	312	4902
60	314	4845
61	316	4786
62	318	4730
63	319	4677
64	321	4631
65	324	4587
66	326	4552
67	328	4507
68	330	4459
69	332	4412
70	334	4371
71	335	4327
72	337	4285
73	339	4247
74	341	4213
75	343	4178
76	345	4139
77	347	4109
78	349	4072
79	350	4035
80	352	3998
81	355	3980
82	357	3949
83	359	3919
84	361	3889
85	362	3857
86	364	3826
87	366	3795
88	368	3767
89	370	3741
90	372	3721
91	374	3692
92	375	3663
93	377	3635
94	378	3609
95	380	3584
96	382	3559
97	384	3535
98	386	3519
99	388	3498
100	390	3477
101	392	3458
102	394	3434
103	395	3411
104	397	3388
105	399	3365
106	400	3343
107	402	3325
108	404	3308
109	406	3287
110	407	3266
111	409	3245
112	410	3225
113	412	3205
114	413	3185
115	415	3166
116	417	3148
117	419	3135
118	421	3119
119	422	3101
120	424	3083
121	426	3066
122	427	3048
123	429	3031
124	430	3014
125	432	2998
126	434	2984
127	435	2969
128	437	2956
129	440	2945
130	441	2930
131	443	2914
132	444	2899
133	446	2885
134	448	2872
135	450	2861
136	452	2850
137	454	2836
138	455	2821
139	457	2808
140	458	2794
141	460	2780
142	461	2767
143	463	2754
144	465	2742
145	466	2731
146	468	2719
147	471	2712
148	473	2704
149	475	2692
150	476	2680
151	478	2667
152	479	2655
153	481	2646
154	483	2635
155	485	2625
156	487	2615
157	488	2604
158	490	2593
159	491	2581
160	493	2570
161	494	2560
162	496	2549
163	499	2544
164	500	2534
165	502	2523
166	503	2513
167	505	2502
168	506	2492
169	508	2482
170	509	2471
171	511	2462
172	513	2454
173	515	2447
174	517	2438
175	518	2428
176	520	2418
177	521	2409
178	523	2400
179	524	2390
180	526	2382
181	528	2373
182	530	2369
183	532	2361
184	534	2352
185	535	2343
186	537	2336
187	538	2327
188	540	2319
189	542	2312
190	544	2307
191	546	2300
192	548	2295
193	551	2291
194	553	2283
195	555	2276
196	557	2270
197	558	2263
198	560	2255
199	562	2248
200	564	2242
201	565	2235
202	567	2227
203	569	2221
204	571	2216
205	573	2210
206	575	2203
207	577	2197
208	578	2191
209	580	2184
210	583	2180
211	585	2175
212	586	2168
213	588	2160
214	590	2155
215	592	2149
216	594	2144
217	596	2138
218	598	2134
219	600	2127
220	601	2120
221	603	2115
222	605	2109
223	606	2102
224	608	2097
225	611	2094
226	613	2088
227	614	2082
228	616	2075
229	618	2070
230	619	2063
231	621	2057
232	623	2051
233	625	2046
234	626	2041
235	628	2035
236	631	2032
237	633	2027
238	634	2021
239	636	2015
240	638	2011
241	640	2006
242	642	2001
243	644	1998
244	646	1992
245	648	1986
246	649	1980
247	651	1975
248	653	1969
249	654	1964
250	656	1958
251	658	1954
252	660	1951
253	662	1946
254	664	1940
255	666	1935
256	667	1930
257	669	1924
258	670	1919
259	673	1917
260	675	1912
261	677	1908
262	679	1905
263	681	1900
264	683	1894
265	685	1891
266	687	1886
267	689	1883
268	692	1880
269	694	1878
270	696	1873
271	698	1870
272	700	1865
273	702	1860
274	703	1855
275	706	1852
276	708	1849
277	710	1844
278	712	1840
279	714	1836
280	715	1830
281	717	1825
282	718	1820
283	720	1817
284	722	1813
285	724	1809
286	727	1807
287	729	1802
288	730	1797
289	732	1793
290	734	1790
291	737	1787
292	739	1785
293	741	1781
294	743	1776
295	744	1771
296	746	1767
297	748	1763
298	750	1759
299	752	1755
300	754	1752
301	756	1748
302	758	1744
303	760	1741
304	762	1737
305	763	1732
306	765	1728
307	767	1725
308	769	1721
309	771	1718
310	775	1717
311	777	1713
312	779	1710
313	781	1706
314	782	1702
315	784	1699
316	787	1696
317	789	1693
318	791	1688
319	792	1684
320	794	1681
321	796	1676
322	797	1672
323	800	1670
324	803	1668
325	804	1663
326	806	1660
327	808	1656
328	809	1651
329	811	1647
330	813	1643
331	815	1640
332	817	1636
333	818	1632
334	821	1630
335	823	1627
336	825	1623
337	826	1619
338	828	1615
339	830	1612
340	832	1608
341	835	1606
342	837	1603
343	838	1599
344	840	1596
345	842	1592
346	844	1588
347	845	1584
348	848	1582
349	850	1579
350	852	1575
351	854	1573
352	856	1569
353	857	1565
354	859	1561
355	861	1558
356	863	1554
357	864	1551
358	867	1548
359	869	1545
360	870	1541
361	872	1537
362	874	1534
363	876	1530
364	877	1527
365	879	1523
366	881	1520
367	883	1516
368	885	1513
369	887	1510
370	889	1507
371	890	1503
372	892	1499
373	894	1497
374	896	1494
375	898	1490
376	899	1487
377	901	1483
378	903	1480
379	904	1476
380	906	1472
381	908	1469
382	910	1466
383	913	1464
384	915	1462
385	916	1458
386	918	1454
387	919	1451
388	922	1448
389	923	1444
390	925	1441
391	927	1438
392	928	1434
393	931	1432
394	932	1428
395	934	1425
396	936	1422
397	937	1418
398	939	1415
399	941	1412
400	943	1409
401	945	1406
402	947	1403
403	949	1400
404	951	1397
405	952	1393
406	954	1390
407	956	1387
408	958	1384
409	960	1381
410	961	1378
411	964	1376
412	966	1372
413	967	1369
414	969	1367
415	971	1363
416	973	1360
417	974	1357
418	977	1354
419	978	1351
420	981	1349
421	984	1348
422	985	1344
423	987	1341
424	990	1339
425	992	1337
426	994	1334
427	997	1332
428	998	1329
429	1000	1325
430	1001	1322
431	1004	1320
432	1005	1317
433	1008	1314
434	1010	1312
435	1012	1309
436	1013	1306
437	1015	1303
438	1019	1302
439	1020	1299
440	1022	1296
441	1024	1293
442	1027	1291
443	1028	1288
444	1031	1285
445	1032	1282
446	1034	1279
447	1035	1276
448	1038	1274
449	1041	1272
450	1043	1270
451	1045	1267
452	1047	1264
453	1048	1261
454	1050	1258
455	1052	1255
456	1054	1252
457	1056	1250
458	1058	1247
459	1060	1244
460	1062	1241
461	1063	1239
